ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	210.15335054410846	23974.580078125	false
1	212.00839782950248	260150.328125	false
2	214.8967600112281	23263.849609375	false
3	214.93394553991158	27913.880859375	false
4	214.971092116013	25079.30078125	false
5	215.02066783658034	33444.87109375	false
6	215.71074644660885	51794.9765625	false
7	215.74789093517725	63003.6796875	false
8	215.78507315320738	59343.82421875	false
9	215.82215124272645	45243.03125	false
10	215.8592738281909	25027.427734375	false
11	216.52497756407	22702.9140625	false
12	216.56211866935334	23784.1484375	false
13	228.49481349334772	2102266.66015625	false
14	231.0154998917408	23447.37890625	false
15	273.9641843958948	809947.2493896484	false
16	287.0305113203049	108107.95373535156	false
17	305.0411234095564	1132403.3012695312	false
18	306.0250602340826	320401.5451660156	false
19	311.0416568162507	202249.77978515625	false
20	313.0735666795449	30961.6943359375	false
21	323.05158389237255	415665.49938964844	false
22	324.03556762120354	79499.3857421875	false
23	327.03664084454243	126752.15771484375	false
24	329.05241178963576	1489529.2644042969	false
25	345.0469119554756	776834.1469726562	false
26	347.06255835602434	566582.1998291016	false
27	357.98337478929835	224666.96786499023	false
28	363.05750121959426	335687.4844970703	false
29	373.95703799779534	89869.63134765625	false
30	385.00705065740175	523109.2409667969	false
31	385.9910847254563	359472.68005371094	false
32	391.00769931149205	73057.2490234375	false
33	395.98027080158994	243851.5302734375	false
34	403.0174093013629	63832.36572265625	false
35	404.0015935477782	63302.8798828125	false
36	409.0183157039122	1098556.9367675781	false
37	419.0723982127561	114492.47412109375	false
38	420.05643741160486	46943.3662109375	false
39	425.0132525581705	653903.9382324219	false
40	425.0728191613927	33697.32763671875	false
41	427.0287700543472	173848.62231445312	false
42	431.1725231204542	81559.08959960938	false
43	437.13816471735146	2183841.309814453	false
44	441.0678292127667	46410.212646484375	false
45	443.0238779349358	92360.4560546875	false
46	443.08362798678195	411574.76623535156	false
47	455.14857674588063	2914107.4140625	false
48	457.14416290757197	14135.32470703125	false
49	457.15349940849524	23876.2607421875	false
50	459.07843877761627	264903.89892578125	false
51	475.1624469755103	272502.46875	false
52	476.1659036501652	21251.273512229534	false
53	481.02835088050347	31132.64697265625	false
54	482.01200076186234	27654.951171875	false
55	493.1282172441042	98671.54052734375	false
56	499.0387226893619	333009.28076171875	false
