ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	212.00838145641495	506094.2109375	false
1	215.0205511749113	22938.349609375	false
2	228.49523666436556	2259066.052734375	false
3	251.92670240659092	81277.171875	false
4	255.95345247854183	26441.43359375	false
5	263.0192047277554	24477.21337890625	false
6	273.96411915635696	1146693.3569335938	false
7	287.0304292183254	100959.40283203125	false
8	288.01441981980764	207342.46240234375	false
9	305.04099509605135	988832.6943359375	false
10	306.02501885050225	2016369.802734375	false
11	311.0416765042989	279046.34765625	false
12	323.051501261452	258772.45239257812	false
13	324.03551875079467	500530.67919921875	false
14	327.03650953601476	131755.88061523438	false
15	329.0522154676852	1679439.6213378906	false
16	345.04686726723185	1091815.9248046875	false
17	347.0625157482495	640462.205078125	false
18	357.5215357497351	44493.609130859375	false
19	357.98337919227833	321860.46545410156	false
20	363.0573718396127	406418.57421875	false
21	377.97681841570187	24374.4912109375	false
22	385.00700035338934	374565.2243652344	false
23	385.9910245685079	1341466.6026611328	false
24	387.99543434787967	21129.272705078125	false
25	391.0074306616632	29349.03857421875	false
26	398.9133229879436	38314.268798828125	false
27	402.045991061187	89071.76513671875	false
28	403.01757580696227	21405.322998046875	false
29	404.0015960547124	379168.8485107422	false
30	409.01824216621793	1036334.5544433594	false
31	419.07236108171946	122871.46508789062	false
32	420.05635003398487	312044.95947265625	false
33	425.01312484774195	663878.4465332031	false
34	427.028686297011	189000.31591796875	false
35	431.1729661579524	77155.15112304688	false
36	437.1378973570622	1355678.3645019531	false
37	441.0678588633891	34227.73828125	false
38	442.5147188390613	34299.58056640625	false
39	443.02388739106397	73987.43676757812	false
40	443.083551731253	294734.8408203125	false
41	455.14847206428686	3053701.060546875	false
42	457.1443289143808	82383.1259765625	false
43	457.1535099543828	26085.074462890625	false
44	459.0784297623819	335377.3615722656	false
45	475.1623042576957	215604.84301757812	false
46	481.02783712313976	49381.36865234375	false
47	482.01227574792495	181901.74829101562	false
48	493.12856010836947	113794.76489257812	false
49	499.039053973298	233434.28759765625	false
50	500.0226874204428	944862.9343261719	false
51	505.0392433923595	157817.36157226562	false
52	505.9353035730123	44281.7509765625	false
53	510.04195273206614	35799.84619140625	false
54	511.13927568137234	47982.49853515625	false
55	521.03397507191	81874.57592773438	false
56	523.0497946801192	586517.970703125	false
57	530.1153075536935	27445.8291015625	false
58	531.0994498883487	282665.34814453125	false
59	537.118317887111	284717.4577636719	false
60	538.4255852519541	14995.914794921875	false
61	539.0446699153749	446862.29052734375	false
62	541.9489999494486	112835.46350097656	false
63	549.1101368633364	168115.212890625	false
64	555.1298456004739	175834.40380859375	false
65	556.1331734332078	49074.44139936812	false
66	561.9784267209096	22388.721923828125	false
67	567.9117789805306	166872.86328125	true
68	568.1602371900966	20370.77001953125	false
69	569.1798751682695	94975.8388671875	false
70	570.1217475001819	178577.77416992188	false
71	573.1212322910698	353968.5573730469	false
72	579.9889141473744	285521.34912109375	false
73	585.0057646920676	23691.47607421875	false
74	588.13225545391	49474.790283203125	false
75	592.0711107683067	43157.66015625	false
76	593.0553616685255	233857.734375	false
77	594.1328065076112	193819.16552734375	false
78	596.1486099574549	20921.9287109375	false
79	601.0008322839229	19567.126220703125	false
