ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	207.99372868884143	14553994.759765625	false
1	209.9893911959807	27211756.71875	false
2	212.0090123493855	190928.62109375	false
3	223.96768289084068	3064467.837890625	false
4	225.96333119966962	2505372.509765625	false
5	228.50207938913545	1870000.28515625	false
6	244.93496903622048	26839.080078125	false
7	273.9648581543527	559295.2344970703	false
8	287.0311716083257	79911.76904296875	false
9	288.0150720759086	16290.22705078125	false
10	305.04180367997395	643933.0544433594	false
11	306.0258475547381	465754.8028564453	false
12	311.0424329171984	93903.84692382812	false
13	323.0523391147157	198638.46447753906	false
14	324.0364088487168	132064.20336914062	false
15	327.0373684465834	57970.9599609375	false
16	329.0530765574942	815714.2076416016	false
17	339.94660341727763	44277.542724609375	false
18	343.90284920688345	2463151.766052246	false
19	345.0475016685635	619211.1171875	false
20	347.0630440879019	336450.91015625	false
21	357.9837925490427	173326640.43310547	false
22	363.0580339040156	231321.08178710938	false
23	373.95754110563104	27469999.001953125	false
24	377.97740076627804	179464.1961669922	false
25	385.0077622551583	332815.82373046875	false
26	385.9917759985077	310867.49475097656	false
27	391.92139904963847	1576729.6854248047	false
28	391.9590952364028	3143739.20703125	false
29	393.95502667986534	19162200.940185547	false
30	397.9766768940497	32031.6640625	false
31	403.018468109009	25761.822265625	false
32	404.0024864536441	40239.599609375	false
33	409.0191547963124	735686.5860595703	false
34	419.07321440223416	119215.10327148438	false
35	420.0573317602035	46750.8759765625	false
36	425.01402786811195	379066.3029785156	false
37	427.02966065976983	119133.66772460938	false
38	437.1389803576959	557066.2624511719	false
39	441.06882037646625	14564.22216796875	false
40	443.0845040881179	116436.17431640625	false
41	455.14947360443955	438529.4450683594	false
42	459.0794285833087	199100.76538085938	false
43	475.16370469267525	48043.74072265625	false
44	481.02919666088	36833.099609375	false
45	490.9005507936722	37737.76379394531	false
46	491.89769739389976	28293074.9609375	false
47	499.039797917596	211808.36254882812	false
48	500.02408237204725	180851.6298828125	false
49	505.0405245709103	53553.79443359375	false
50	510.5351582582747	15390.35302734375	false
51	521.0348342800112	19022.2216796875	false
52	523.0512274913912	359482.8876953125	false
53	525.9726860374109	186629328.74169922	false
54	531.1009791127939	61788.483154296875	false
55	537.1195425591259	51527.439453125	false
56	539.0459571237753	267667.73974609375	false
57	541.935902450785	24147.04296875	false
58	541.9500092591974	318241216.98046875	false
59	547.9671127293655	34195.65673828125	false
60	554.6291154836031	146514.58862304688	false
61	555.1304063466254	556702.7980957031	false
62	559.922557816362	920051.84375	true
63	560.9204243309059	5181180.623125768	false
64	563.9155925887861	42371.63134765625	true
65	570.1233745077809	117387.42041015625	false
66	572.1389968965777	23789.5927734375	false
67	573.1231291501803	19567.4189453125	false
68	579.9907364560595	22035.805908203125	false
69	581.9428790991941	134344.57641601562	true
70	588.1338697665221	48354.24365234375	false
71	589.1185453542822	28492.86279296875	false
72	594.1344483036854	15218.021484375	false
73	603.017863567653	138126.01318359375	false
74	610.0832703035932	33673.628173828125	false
75	611.0675710396056	231008.93896484375	false
76	616.0841786992868	70395.03637695312	false
77	617.0690069772734	64630.294189453125	false
78	619.0126388725142	49642.333740234375	false
79	629.0785333923166	25612.92041015625	false
80	632.0791403977	114584.94482421875	false
81	634.09481771391	353878.8779296875	false
82	635.0790623356447	533082.580078125	false
83	639.8927673406074	14542635.621582031	true
84	640.0974614094057	19704.4609375	false
85	650.0898341866284	483413.4616699219	false
86	651.0741786475639	123903.97973632812	false
87	651.1516435364811	225809.1328125	false
88	652.1069458519253	73083.93212890625	false
89	653.0908184112747	160783.900390625	false
90	653.931163903703	74013.57861328125	false
91	656.0906071943782	96726.4501953125	false
92	658.1064427987325	281848.66259765625	false
93	663.1987914899626	88268.28125	false
94	668.0997496092742	29066.759765625	false
95	674.1004956309114	419935.16845703125	false
96	676.1180690028012	68092.5380859375	false
97	681.2091917515526	717295.8076171875	false
98	682.5662442644109	25899.5595703125	false
99	691.0340849495265	74146.3583984375	false
100	692.1120605848271	141985.1728515625	false
101	697.035246042009	51255.622314453125	false
102	697.203864130397	13427.106689453125	false
103	712.0460841577782	18697.211669921875	false
104	714.0616375959381	198909.5146484375	false
105	715.0456467784563	301807.72802734375	false
106	715.9559304614581	9885704.904785156	true
107	717.0505686622971	18147.9462890625	false
108	725.09938219567	36301.787841796875	false
109	730.056337706503	228591.05639648438	false
110	731.0408674758419	28441.34228515625	false
111	731.1167460088961	13810.701904296875	false
112	731.9342515581739	25143609.71044922	true
113	732.075163123119	15381.655517578125	false
114	733.0593363917291	21600.525634765625	false
115	736.0573552859582	29730.93017578125	false
116	737.9510478367117	105754.2177734375	false
117	738.0728207109593	175601.97094726562	false
118	743.1651645509586	92913.236328125	false
119	748.0669652543698	20728.6220703125	false
120	748.1269205871025	84318.7451171875	false
121	749.1116415623196	108637.63427734375	false
122	751.9268461145459	21756.636962890625	false
123	754.0675565089197	332765.98095703125	false
124	755.9482323233382	13818.919921875	false
125	757.7223121203375	40415.030029296875	false
126	761.1756727753202	637700.9353027344	false
127	762.1961451702985	362486.69140625	false
128	764.1221133830308	170969.20629882812	false
129	767.9044200051277	141601.7578125	false
130	772.1379360930403	80935.341796875	false
131	780.2055196223496	161713.58349609375	false
132	800.9258038792078	19022.042236328125	false
133	805.0662113158686	101850.95922851562	false
134	805.430644272934	18510.24365234375	false
135	811.0656984346897	18628.7822265625	false
136	813.4338799901298	21258.163235409884	true
137	827.581222642451	18670.880859375	false
138	828.0935813495091	24093.574462890625	false
139	829.0768308129938	210825.55322265625	false
140	842.1621976880969	511060.9365234375	false
141	844.0879372995494	199845.4912109375	false
142	849.624545590958	23261.079309491284	false
143	852.1029507233278	165692.85131835938	false
144	855.1310625736106	25957.626513809206	false
145	859.3797495942729	26184.97021484375	false
146	859.461306974047	48379.740652572546	false
147	859.5449287506448	18467.663323562083	false
148	860.1544342319836	102107.00390625	false
149	860.1728126046918	35182.76806640625	false
150	861.1299865058443	33437.70986538333	false
151	861.2963766291356	32844.5390625	false
152	868.0993050157441	183009.13159179688	false
153	870.6332175596357	24263.26708984375	false
154	870.7148898691179	23456.87255859375	false
155	871.7971702253487	29247.30784328548	false
156	872.6319740099588	39299.90317991375	false
157	883.181095350863	15477.5732421875	false
158	899.1780957455859	69032.28955078125	false
159	899.9210898660198	376051.5078125	true
160	900.1603927278637	88288.37109375	false
161	902.1322708617239	15236.8949968348	false
