ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	212.00829792588348	26699.9921875	false
1	273.96394262598335	74248.10266113281	false
2	305.04086336026745	68666.28491210938	false
3	306.0248588851816	122564.4013671875	false
4	324.03537991891653	46168.64880371094	false
5	327.0363340583359	22538.92431640625	false
6	329.0519596620586	19873.552368164062	false
7	345.0463776051304	203147.38513183594	false
8	357.98249569090683	101071.7529296875	false
9	363.05688468954617	83000.03076171875	false
10	385.0064936933405	20408.990356445312	false
11	385.9905725497866	109293.5126953125	false
12	425.0126434820347	111501.85107421875	false
13	437.13754569697164	117146.755859375	false
14	455.14803855337294	170843.21606445312	false
15	459.0780035007362	58784.4677734375	false
16	500.02223622244156	60315.342529296875	false
17	521.0334097951836	15928.030029296875	false
18	537.1177508975084	19083.1328125	false
19	539.0443174248072	70981.48950195312	false
20	555.1285586599435	105293.25390625	false
21	571.1054005073901	19095.724365234375	false
22	579.9888049239826	15539.151611328125	false
23	589.1159737262365	21812.354736328125	false
24	611.0655552053588	86136.63134765625	false
25	628.138057981923	18703.879638671875	false
26	629.0761099834893	20295.7158203125	false
27	633.0613994537706	21043.080322265625	false
28	635.077348688643	19577.1953125	false
29	650.5795302752088	17866.9384765625	false
30	651.0713075165647	194908.41088867188	false
31	651.1493006044185	66497.7021484375	false
32	669.0823722688408	45518.362548828125	false
33	674.0985580958102	62239.6162109375	false
34	690.0939622659312	51855.591064453125	false
35	691.0320154812074	64004.561767578125	false
36	702.2184462565268	22618.25	false
37	713.0275951856853	23386.5751953125	false
38	720.229142743456	299368.44189453125	false
39	725.0978764223725	13248.799025763568	false
40	731.0378900835943	118644.48510742188	false
41	737.9481610756529	74379.8154296875	false
42	754.0649128715254	20383.4951171875	false
43	762.1925808731185	94873.7333984375	false
44	780.20329112372	42174.7294921875	false
45	782.1849667883473	46319.6943359375	false
46	800.1953619327254	175205.65966796875	false
47	826.0144279711953	73808.44702148438	false
48	827.0589017909894	16256.374755859375	false
49	842.1592508086695	136875.58837890625	false
50	845.0692335122803	88987.4990234375	false
51	860.1716003867186	62883.301513671875	false
52	899.637154385509	21587.19921875	false
53	916.1053353862574	17623.59228515625	false
54	916.1524325809531	18301.7421875	false
55	918.4632952428523	14395.28515625	false
56	929.1405523717095	100556.46582540174	false
57	934.1620799693633	19393.0849609375	false
58	956.111341552476	64247.8212890625	false
59	956.1899421655448	144731.04833984375	false
60	980.1236767597426	82605.47216796875	false
61	996.1183230162966	100771.283203125	false
62	998.1309380302006	20438.64111328125	false
63	1014.1291243626735	20151.18994140625	false
64	1019.1455259019641	22888.44970703125	false
65	1036.0807323405832	13507.540771484375	false
66	1036.155746839619	21426.0830078125	false
67	1047.2652403901286	19655.27734375	false
68	1060.089403908785	35483.55187988281	false
69	1065.2759952292463	309419.2646484375	false
70	1067.2330843836985	233539.63256835938	false
71	1076.084845943367	41501.984619140625	false
72	1085.24398824977	94213.46606445312	false
73	1094.1554007936659	21546.173583984375	false
74	1110.1493632107602	19617.1953125	false
75	1127.2317730959019	28013.31475830078	false
76	1145.242222310937	16303.534912109375	false
77	1147.200147110797	223216.47143554688	false
78	1150.1093987767688	21252.166870117188	false
79	1174.1213457298284	51051.718505859375	false
80	1181.1885886447772	14536.563598632812	false
81	1190.1163940377603	39270.826416015625	false
82	1245.2041314019816	13536.108642578125	false
83	1254.0863215396093	11457.46923828125	false
84	1261.1535830023927	22938.0595703125	false
85	1285.1632528805683	11348.119506835938	false
86	1300.2166835583391	11752.16552734375	false
87	1320.6905779675703	10582.440795898438	false
88	1325.1713537528315	73100.54553222656	false
89	1341.1192395560681	12527.297729492188	false
90	1343.1809981592942	20160.904296875	false
91	1353.2908137904112	29694.734130859375	false
92	1371.3010240307124	290018.8077392578	false
93	1373.2582883607743	35173.51611328125	false
94	1391.2684356894842	50792.8388671875	false
95	1405.1367785420578	45434.547607421875	false
96	1433.2565899888064	28321.07373046875	false
97	1438.3731417491647	12751.16845703125	false
98	1439.201742616632	17040.405029296875	false
99	1451.2669080305293	228365.18884277344	false
100	1453.2254579212054	405619.3162841797	false
101	1471.234610788464	57661.06652832031	false
102	1498.7346910662131	37289.9140625	false
103	1519.1686727017857	48004.76989746094	false
104	1565.2985337471296	25112.306640625	false
105	1567.2586848089893	170536.6572265625	false
106	1606.1990001291347	45491.51708984375	false
107	1647.1896181568684	30847.697509765625	false
108	1647.2221986890634	15625.500610351562	false
109	1654.2221396005093	34323.77966308594	false
110	1670.2177570603767	39617.293701171875	false
111	1698.3385136265556	28245.706298828125	false
112	1716.3478097402349	440773.3547363281	false
113	1720.2333721502073	12982.809204101562	false
114	1726.1587718398564	18060.9521484375	false
115	1736.31628424886	48258.458740234375	false
116	1770.7707671716805	17370.95458984375	false
117	1778.3034429895724	21289.747802734375	false
118	1796.3137535194185	49748.3330078125	false
119	1798.2718369029042	252472.62646484375	false
120	1816.281808806217	23097.081787109375	false
121	1841.1884133610338	16166.64013671875	false
122	1871.3266069210965	25932.952392578125	false
123	1912.302661507411	89313.26928710938	false
124	1976.24418750657	14567.886352539062	false
125	1992.2735250861945	37397.12390136719	false
126	2004.3639691711057	25910.839233398438	false
127	2019.0644224497744	12163.608276367188	false
128	2022.3730044070894	183268.70971679688	false
129	2032.2768760797685	11162.949462890625	false
130	2056.208041450324	11804.091552734375	false
131	2063.352589105287	45672.8427734375	false
132	2081.3648351542847	42712.34423828125	false
133	2102.339107274923	249624.26403808594	false
134	2143.3182892683144	182048.05224609375	false
135	2216.370487069841	28233.52490234375	false
136	2257.350191686049	152515.69750976562	false
137	2296.332226040947	13784.14453125	false
138	2337.3198584770184	39824.80859375	false
139	2349.406550750335	9888.2578125	false
140	2367.419223376307	259555.01538085938	false
141	2368.4105458549557	70657.96875	false
142	2386.403002611629	14314.966186523438	false
143	2447.384242002902	84929.76623535156	false
144	2461.8314207467665	26180.87744140625	false
145	2466.37150061813	15699.726318359375	false
146	2561.4170200407357	72146.01062011719	false
147	2641.38313078279	13775.169860839844	false
148	2650.351642517746	15750.438842773438	false
149	2674.4231414742044	41005.90576171875	false
150	2694.464147842712	33818.776123046875	false
151	2712.4673278050122	340711.72186279297	false
152	2754.3858943633218	105513.92919921875	false
153	2774.413282423995	12671.720336914062	false
154	2792.433055657752	237355.5830078125	false
155	2868.4363218211683	102769.26171875	false
156	2886.426464170941	16416.837524414062	false
157	2890.4680555885516	23793.982543945312	false
158	2908.3744804689586	20658.85498046875	false
159	2948.381804315119	100151.10931396484	false
160	2970.4330604943857	17223.481811523438	false
161	2979.457655771579	223662.19982910156	false
162	2997.4662909055774	16936.990112304688	false
163	3041.5194053002197	155924.78381347656	false
164	3059.424051888493	279962.99128039635	false
165	3121.4840618413537	98315.65673828125	false
166	3172.4732009540394	17003.697021484375	false
167	3173.453990620862	9074.704833984375	false
168	3235.515807249875	55483.689208984375	false
169	3253.4188812954085	8698.548217773438	false
170	3254.426497315027	18827.582641601562	false
171	3286.415026150522	12532.75456367451	false
172	3293.4256800062158	13801.212890625	false
173	3342.5206455006187	15659.7236328125	false
174	3367.457096995088	22369.55322265625	false
175	3386.564613711637	238375.39135742188	false
176	3404.4703223521915	107280.38134765625	false
177	3408.4611855837097	28595.2236328125	false
178	3422.482105557425	50332.5234375	false
179	3448.5223195431417	25143.608642578125	false
180	3466.531855386177	30122.555053710938	false
181	3502.496245909432	11066.36767578125	false
182	3518.5034560071836	238555.4638671875	false
183	3621.5071140744717	125471.69055175781	false
184	3637.5014422020718	25602.044799804688	false
185	3653.558602652328	29466.7744140625	false
186	3692.0573268810326	12243.589294433594	false
187	3692.588691566194	124838.23400878906	false
188	3733.524927476902	39995.6845703125	false
189	3772.554245734599	425363.05169677734	false
190	3773.5559701477	27494.015502929688	false
191	3870.5931832383953	19475.014526367188	false
192	3888.4978972604663	30139.627685546875	false
193	3904.490028064814	18399.203002929688	false
194	4021.6413527995314	84939.83544921875	false
195	4039.5494734142353	211459.81787109375	false
196	4064.5844832563944	12199.430053710938	false
197	4082.5875601370017	12447.723999023438	false
198	4083.593700866246	17584.499877929688	false
199	4101.605930974805	42147.67199707031	false
200	4153.575407022371	22316.87451171875	false
201	4154.5803026929725	12514.212158203125	false
202	4215.636294201376	91055.02232376327	false
203	4234.545497598995	8277.346252441406	false
