nucleoside	monoisotopic_mass
02G	311.123
61A	335.1594
ac4C	285.09608517
cm5U	302.07501538
106G	571.2126
066A	309.1437
nm5s2U	289.07324155
01A	295.1281
101G	311.123
662A	426.1499
27G	313.1386
62A	412.1343
inm5Um	355.17433547
2165A	428.1292
621A	327.1001
01G	311.123
ncm5s2U	317.06815617
63A	426.1499
chm5U	318.06993
1G	297.1073
D	246.08518614
68A	297.1073
027G	327.1543
cmnm5se2U	273.09608517
m1acp3Y	359.13286459
66A	295.1281
47G	422.155
2162A	458.122
G	283.09167
s4U	260.04669246
Tmoe	316.12705094
Uf	246.06519959
2160A	397.142
ges2U	396.17189294
0A	281.1124
nchm5U	317.08591441
22G	311.123
acp3Y	345.11721453
34830G	524.1867
m5Cm	271.11682061
7G	299.123
mcm5U	316.09066544
102G	425.1547
cnm5U	283.08043511
mcm5Um	330.1063155
cmnm5s2U	347.07872085
mnm5U	287.11173523
6A	281.1124
m4,4Cm	285.13247067
0G	297.1073
2G	297.1073
k2C	371.18048347
06A	295.1281
mnm5ges2U	439.21409209
cmnm5Um	345.11721453
ho5U	260.0644507
m3C	257.10117055
ncm5Um	315.10664985
2A	281.1124
m4Cm	271.11682061
m1Y	258.08518614
28A	295.1281
tm5U	381.08420015
00G	495.1003
cmo5U	318.06993
acp3D	347.13286459
Ym	258.08518614
60A	351.1543
104G	571.2126
inm5s2U	357.13584179
s2C	259.06267687
Y	244.06953608
3480G	466.1812
mnm5s2U	303.08889161
100G	307.0917
2161A	381.1471
m5Um	272.1008362
ncm5U	301.09099979
mchm5U	332.08558006
mnm5se2U	350.08862061
U	244.06954
67A	295.0917
09A	282.0964
mo5U	274.08010076
cmnm5U	331.10156447
ho5C	259.08043511
C	243.08552
Cf	245.081184
m5D	260.1008362
C+	352.17332714
mchm5Um	346.10123012
nm5se2U	336.07297055
34G	335.123
inm5U	341.15868541
2164A	440.1114
022G	325.1386
hm5C	273.09608517
s2Um	274.06234252
se2U	307.04642146
1A	281.1124
019A	296.1121
42G	335.123
m4C	257.10117055
64A	309.1073
m3U	258.08518614
tm5s2U	397.06135653
m5C	257.10117055
f5Cm	285.09608517
103G	324.1182
nm5U	273.09608517
105G	538.2023
A	267.09675
m5s2U	274.06234252
65A	368.108
342G	349.1386
ac4Cm	299.11173523
227G	327.1543
8A	281.1124
m5Cmoe	315.14303535
3470G	452.1655
3483G	508.1918
mcm5s2U	332.06782182
cmnm5ges2U	483.20392133
mcmo5U	332.08558006
19A	282.0964
10G	409.1597
347G	436.1706
acp3U	345.11721453
2163A	472.1376
Um	258.08518614
34832G	540.1816
348G	450.1863
m3Um	272.1008362
Cm	257.10117055
cm5s2U	318.05217176
m4,4C	271.11682061
m5U	258.08518614
4G	321.1073
69A	394.1237
m3Y	258.08518614
00A	479.1053
f5C	271.08043511
s2U	260.04669246
