nucleoside	monoisotopic_mass
3483G	508.1918
100G	307.0917
68A	297.1073
k2C	371.18048347
347G	436.1706
m5Um	272.1008362
102G	425.1547
acp3D	347.13286459
06A	295.1281
Tmoe	316.12705094
019A	296.1121
m5U	258.08518614
mcm5Um	330.1063155
348G	450.1863
19A	282.0964
066A	309.1437
cmnm5se2U	273.09608517
cmnm5ges2U	483.20392133
m5s2U	274.06234252
m1Y	258.08518614
mcm5s2U	332.06782182
m3Um	272.1008362
s2U	260.04669246
2163A	472.1376
tm5U	381.08420015
Cm	257.10117055
cmnm5U	331.10156447
34G	335.123
mnm5s2U	303.08889161
acp3Y	345.11721453
m5D	260.1008362
103G	324.1182
Ym	258.08518614
2162A	458.122
C+	352.17332714
01G	311.123
2165A	428.1292
1A	281.1124
1G	297.1073
0A	281.1124
inm5U	341.15868541
69A	394.1237
ges2U	396.17189294
ho5U	260.0644507
342G	349.1386
nm5s2U	289.07324155
3470G	452.1655
mnm5se2U	350.08862061
62A	412.1343
00G	495.1003
3480G	466.1812
cm5s2U	318.05217176
mcm5U	316.09066544
0G	297.1073
2G	297.1073
D	246.08518614
105G	538.2023
2164A	440.1114
tm5s2U	397.06135653
22G	311.123
f5Cm	285.09608517
G	283.09167
cnm5U	283.08043511
66A	295.1281
65A	368.108
m3Y	258.08518614
m4Cm	271.11682061
s2Um	274.06234252
acp3U	345.11721453
m5Cmoe	315.14303535
60A	351.1543
2A	281.1124
27G	313.1386
nm5se2U	336.07297055
104G	571.2126
4G	321.1073
mnm5ges2U	439.21409209
f5C	271.08043511
hm5C	273.09608517
2161A	381.1471
Uf	246.06519959
106G	571.2126
61A	335.1594
227G	327.1543
34830G	524.1867
cmnm5Um	345.11721453
m5Cm	271.11682061
mchm5U	332.08558006
m4,4Cm	285.13247067
10G	409.1597
nchm5U	317.08591441
nm5U	273.09608517
Cf	245.081184
inm5Um	355.17433547
ncm5s2U	317.06815617
67A	295.0917
C	243.08552
8A	281.1124
ac4C	285.09608517
101G	311.123
m4,4C	271.11682061
Um	258.08518614
m1acp3Y	359.13286459
6A	281.1124
mcmo5U	332.08558006
47G	422.155
42G	335.123
02G	311.123
mchm5Um	346.10123012
s2C	259.06267687
ac4Cm	299.11173523
m4C	257.10117055
ncm5U	301.09099979
ho5C	259.08043511
662A	426.1499
64A	309.1073
m3U	258.08518614
cm5U	302.07501538
inm5s2U	357.13584179
mo5U	274.08010076
01A	295.1281
m3C	257.10117055
022G	325.1386
28A	295.1281
A	267.09675
mnm5U	287.11173523
7G	299.123
Y	244.06953608
se2U	307.04642146
027G	327.1543
s4U	260.04669246
63A	426.1499
cmnm5s2U	347.07872085
m5C	257.10117055
00A	479.1053
ncm5Um	315.10664985
09A	282.0964
cmo5U	318.06993
2160A	397.142
U	244.06954
chm5U	318.06993
34832G	540.1816
621A	327.1001
