Standard_Symbol	Symbol	Nucleoside	Chemical Formula	Mass
001C	Cf	2' fluorocytidine	C9 H12 N3 O4 F1	245.08118400
002U	Tmoe	5-methyl-2'-O-methoxyethyluridine	C13 H20 N2 O7	316.12705094
003U	Uf	2' fluorouridine	C9 H11 N2 O5 F1	246.06519959
004C	m5Cmoe	5-methyl-2'-O-methoxyethylcytidine	C13 H21 N3 O6	315.14303535
02U	s2Um	2-thio-2'-O-methyluridine	C10 H14 N2 O5 S1	274.06234252
03U	m3Um	3,2'-O-dimethyluridine	C11 H16 N2 O6	272.10083620
042C	ac4Cm	N4-acetyl-2'-O-methylcytidine	C12 H17 N3 O6	299.11173523
044C	m4,4Cm	N4,N4,2'-O-trimethylcytidine	C12 H19 N3 O5	285.13247067
04C	m4Cm	N4,2'-O-dimethylcytidine	C11 H17 N3 O5	271.11682061
051U	cmnm5Um	5-carboxymethylaminomethyl- 2'-O-methyluridine	C13 H19 N3 O8	345.11721453
0521U	mcm5Um	5-methoxycarbonylmethyl-2'-O-methyluridine	C13 H18 N2 O8	330.10631550
0522U	mchm5Um	5-carboxyhydroxymethy-2'O-methyluridine methyl ester	C13 H18 N2 O9	346.10123012
053U	ncm5Um	5-carbamoylmethyl-2'-O-methyluridine	C12 H17 N3 O7	315.10664985
0583U	inm5Um	5-(isopentenylaminomethyl)- 2'-O-methyluridine	C16 H25 N3 O6	355.17433547
05C	m5Cm	5,2'-O-dimethylcytidine	C11 H17 N3 O5	271.11682061
05U	m5Um	5,2'-O-dimethyluridine	C11 H16 N2 O6	272.10083620
071C	f5Cm	5-formyl-2'-O-methylcytidine	C11 H15 N3 O6	285.09608517
09U	Ym	2'-O-methylpseudouridine	C10 H14 N2 O6	258.08518614
0C	Cm	2'-O-methylcytidine	C10 H15 N3 O5	257.10117055
0U	Um	2'-O-methyluridine	C10 H14 N2 O6	258.08518614
1309U	m1acp3Y	1-methyl-3-(3-amino-3-carboxypropyl) pseudouridine	C14 H21 N3 O8	359.13286459
19U	m1Y	1-methylpseudouridine	C10 H14 N2 O6	258.08518614
20510U	nm5se2U	5-aminomethyl-2-selenouridine	C10 H15 N3 O5 Se1	336.07297055
20511U	mnm5se2U	5-methylaminomethyl-2-selenouridine	C11 H17 N3 O5 Se1	350.08862061
2051U	cmnm5se2U	5-carboxymethylaminomethyl-2-selenouridine	C10 H15 N3 O6	273.09608517
20C	C+	agmatidine	C14 H22 N7 O4	352.17332714
20U	se2U	2-selenouridine	C9 H12 N2 O5 Se1	307.04642146
21511U	mnm5ges2U	5-methylaminomethyl-2-geranylthiouridine	C21 H33 N3 O5 S1	439.21409209
